text	integer	float	float	boolean
SystematicName	ControlType	gTotalGeneSignal	gTotalGeneError	gIsGeneDetected
hsa-miR-25-3p	0	1614.02	119.54	1
hsa-miR-25-5p	0	0.1	1	0
hsa-miR-26a-1-3p	0	0.1	1	0
hsa-miR-26a-2-3p	0	0.1	1	0
hsa-miR-26a-5p	0	1892.71	145.233	1
hsa-miR-26b-3p	0	0.1	1	0
hsa-miR-26b-5p	0	1363.47	98.1809	1
hsa-miR-27a-3p	0	2595.98	201.276	1
hsa-miR-27a-5p	0	0.1	1	0
hsa-miR-27b-3p	0	291.569	23.4065	1
hsa-miR-27b-5p	0	0.1	1	0
hsa-miR-28-3p	0	5.95631	1.44944	1
hsa-miR-28-5p	0	49.6417	5.25694	1
hsa-miR-296-3p	0	0.1	1	0
hsa-miR-296-5p	0	11.7286	2.81584	1
hsa-miR-297	0	25.3217	2.70552	1
hsa-miR-298	0	0.1	1	0
hsa-miR-299-3p	0	0.1	1	0
hsa-miR-299-5p	0	0.1	1	0
hsa-miR-29a-3p	0	4043.18	304.048	1
hsa-miR-29a-5p	0	5.76637	1.42029	1
hsa-miR-29b-1-5p	0	27.7719	2.93887	1
hsa-miR-29b-2-5p	0	4.76845	1.36551	1
hsa-miR-29b-3p	0	1525.2	116.779	1
hsa-miR-29c-3p	0	1807.83	128.267	1
hsa-miR-29c-5p	0	12.6722	2.8577	1
hsa-miR-300	0	0.1	1	0
hsa-miR-301a-3p	0	119.563	9.50957	1
hsa-miR-301b	0	8.28722	1.52107	1
hsa-miR-302a-3p	0	0.1	1	0
hsa-miR-302a-5p	0	0.1	1	0
hsa-miR-302b-3p	0	0.1	1	0
hsa-miR-302b-5p	0	0.1	1	0
hsa-miR-302c-3p	0	0.1	1	0
hsa-miR-302c-5p	0	0.1	1	0
hsa-miR-302d-3p	0	0.1	1	0
hsa-miR-302d-5p	0	0.1	1	0
hsa-miR-302e	0	0.1	1	0
hsa-miR-302f	0	0.1	1	0
hsa-miR-30a-3p	0	0.1	1	0
hsa-miR-30a-5p	0	31.1331	4.04487	1
hsa-miR-30b-3p	0	28.9651	4.2187	1
hsa-miR-30b-5p	0	780.877	51.9095	1
